family_key,family_title,brands,variant_count,variant_codes,variant_labels,colors,sizes,supplier_codes,gtins,min_msrp,max_msrp,image_count,source_urls
902271,ΣΑΚΙΔΙΟ HYDRITION ΜΕ ΘΗΚΗ ΑΣΚΟΥ,POLO,3,3000|6000|7300,DOMINO|6000,,O/S,902271-3000|902271-6000|902271-7300,5201927113834,30.00,30.00,3,https://www.polo.gr/bags/travel/sakidia-travel/el-backback-hydrition-3000/|https://www.polo.gr/bags/travel/sakidia-travel/el-backback-hydrition-6000/|https://www.polo.gr/bags/travel/sakidia-travel/el-backback-hydrition-7300/
907007,ΤΣΑΝΤΑ ΩΜΟΥ STRIKE S,POLO,2,2000|2002,DOMINO|2002,,O/S,907007-2000|907007-2002,5201927131999,17.60,17.60,2,https://www.polo.gr/bags/urban/shoulder-bag/el-shoulder-bag-strike-s-2000/|https://www.polo.gr/bags/urban/shoulder-bag/el-shoulder-bag-strike-s-2002/
907008,ΤΣΑΝΤΑ ΩΜΟΥ STRIKE L,POLO,2,2000|2002,2000|2002,,O/S,907008-2000|907008-2002,5201927132019,19.80,19.80,2,https://www.polo.gr/bags/urban/shoulder-bag/el-shoulder-bag-strike-l-2000/|https://www.polo.gr/bags/urban/shoulder-bag/el-shoulder-bag-strike-l-2002/
907016,ΤΣΑΝΤΑ ΩΜΟΥ CROSSOVER,POLO,1,2000,2000,,O/S,907016-2000,5201927113575,22.00,22.00,3,https://www.polo.gr/bags/urban/el-urban-chest-bags/el-shoulder-bag-crossover-2000/
907017,ΤΣΑΝΤΑ ΩΜΟΥ CRUZ,POLO,1,2000,2000,,O/S,907017-2000,5201927113582,22.00,22.00,3,https://www.polo.gr/bags/urban/el-urban-chest-bags/el-shoulder-bag-cruz-2000/
907018,ΣΑΚΙΔΙΟ PURE,POLO,3,2000|2300|5100,2000|2300|Navy,Μπλε,O/S,907018-2000|907018-2300|907018-5100,5201927113612|5201927153045|5201927153052,33.00,33.00,13,https://www.polo.gr/bags/urban/women-bag/el-backback-pure-2000/|https://www.polo.gr/bags/urban/women-bag/el-backpack-pure-2300/|https://www.polo.gr/bags/urban/women-bag/el-backpack-pure-5100/
907021,ΣΑΚΙΔΙΟ DORA,POLO,2,2000|7900,BLACK|7900,Μαύρο,O/S,907021-2000|907021-7900,5201927113681,33.00,33.00,6,https://www.polo.gr/bags/urban/women-bag/el-backpack-dora-2000/|https://www.polo.gr/bags/urban/women-bag/el-backpack-dora-7900/
907027,ΤΣΑΝΤΑ ΩΜΟΥ BANDIT,POLO,1,2000,Bandid,,O/S,907027-2000,5201927114671,25.00,25.00,2,https://www.polo.gr/bags/urban/shoulder-bag/el-shoulder-bag-bandit-2000/
907031,ΤΣΑΝΤΑ ΩΜΟΥ DON L,POLO,1,2000,2000,,O/S,907031-2000,5201927114916,22.00,22.00,1,https://www.polo.gr/bags/urban/shoulder-bag/el-shoulder-bag-don-l-2000/
907032,ΤΣΑΝΤΑ ΩΜΟΥ DON S,POLO,1,2000,2000,,O/S,907032-2000,5201927114923,19.80,19.80,1,https://www.polo.gr/bags/urban/shoulder-bag/el-shoulder-bag-don-s-2000/
907033,ΤΣΑΝΤΑ ΩΜΟΥ VERTIGO,POLO,1,7900,7900,,O/S,907033-7900,5201927114947,19.80,19.80,1,https://www.polo.gr/bags/urban/shoulder-bag/el-shoulder-bag-vertigo-7900/
907037,ΣΑΚΙΔΙΟ MINI GECKO,POLO,3,2001|8326|8327,2001|8326|8327,,O/S,907037-2001|907037-8326|907037-8327,5201927129552|5201927129514|5201927129521,30.80,30.80,6,https://www.polo.gr/bags/urban/women-bag/el-backback-mini-gecko-2001/|https://www.polo.gr/bags/urban/women-bag/el-backback-mini-gecko-8326/|https://www.polo.gr/bags/urban/women-bag/el-backback-mini-gecko-8327/
907041,ΤΣΑΝΤΑ ΣΤΗΘΟΥΣ TRAP,POLO,1,2900,2900,,O/S,907041-2900,5201927115906,11.00,11.00,1,https://www.polo.gr/bags/camo/el-tsanta-stithous-trap-2900/
907043,ΤΣΑΝΤΑΚΙ ΩΜΟΥ STREAM,POLO,4,8206|8208|8330|8331,8206|8208|8330|8331,,O/S,907043-8206|907043-8208|907043-8330|907043-8331,5201927120405|5201927120429|5201927129453|5201927129460,20.90,20.90,7,https://www.polo.gr/bags/urban/el-stream-shoulder-bag-8206/|https://www.polo.gr/bags/urban/el-stream-shoulder-bag-8208/|https://www.polo.gr/bags/urban/shoulder-bag/el-stream-shoulder-bag-8330/|https://www.polo.gr/bags/urban/shoulder-bag/el-stream-shoulder-bag-8331/
907049,ΣΑΚΙΔΙΟ LYDIA,POLO,2,8332|8333,Butterfly Wings|Flowers,,O/S,907049-8332|907049-8333,5201927129378|5201927129385,33.00,33.00,6,https://www.polo.gr/bags/urban/women-bag/el-backback-lydia-8332/|https://www.polo.gr/bags/urban/women-bag/el-backback-lydia-8333/
